database,3D Interaction,ligand_id,pubchem_cid,cdot drug name,pdb_target_id,target chain id,malaria,pf_orth_pdb_target_id,gene id,gene name,3d_align_len,local_coverage,moa,Align Length,autodock_binding_affinity
Uniprot,1CTR_TFP_Q9U460.pdb,TFP,5566,trifluoperazine,1CTR,A,Q9U460,A,PF3D7_1108600,endoplasmic reticulum-resident calcium binding protein,0.705,0.163,dopamine receptor antagonist,132,-7.081
Uniprot,1D7O_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,1D7O,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.519,0.852,antibacterial agent,47.664,-7.752
Uniprot,1D8A_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,1D8A,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.561,0.638,antibacterial agent,25.316,-7.791
Uniprot,1J3I_WRA_A0A060D6A2.pdb,WRA,121750,WR99210,1J3I,A,A0A060D6A2,A,PF3D7_0417200,bifunctional dihydrofolate reductase-thymidylate synthase,0.39,0.888,dihydrofolate reductase inhibitor,100,-7.856
Uniprot,1J3K_WRA_P13922.pdb,WRA,121750,WR99210,1J3K,B,P13922,A,PF3D7_0417200,bifunctional dihydrofolate reductase-thymidylate synthase,0.365,0.896,dihydrofolate reductase inhibitor,328,-7.373
Uniprot,1LIN_TFP_Q25793.pdb,TFP,5566,trifluoperazine,1LIN,A,Q25793,A,PF3D7_1108600,endoplasmic reticulum-resident calcium binding protein,0.694,0.199,dopamine receptor antagonist,132,-8.422
Uniprot,1NHG_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,1NHG,B,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.289,0.983,antibacterial agent,100,-7.723
Uniprot,1P45_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,1P45,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.635,0.425,antibacterial agent,27.322,-7.801
Uniprot,1QSG_TCL_Q9BH77.pdb,TCL,5564,triclosan,1QSG,A,Q9BH77,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.525,0.601,antibacterial agent,237,-7.779
Uniprot,1SA4_JAN_Q5EI72.pdb,JAN,159324,tipifarnib,1SA4,B,Q5EI72,A,PF3D7_1147500,protein farnesyltransferase subunit beta,0.564,0.546,farnesyltransferase inhibitor,321,-9.242
Uniprot,1UH5_TCL_Q9BJJ9.pdb,TCL,5564,triclosan,1UH5,A,Q9BJJ9,A,PF3D7_0615100,enoyl-acyl carrier reductase,0.32,0.986,antibacterial agent,100,-7.929
Uniprot,1UU3_LY4_P62343.pdb,LY4,153999,ruboxistaurin,1UU3,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.636,0.569,PKC inhibitor,261,-11.72
Uniprot,1UU8_BI1_P62343.pdb,BI1,2396,GF109203X,1UU8,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.624,0.549,PKC inhibitor,261,-8.732
Uniprot,1WRK_TFP_P24044.pdb,TFP,5566,trifluoperazine,1WRK,A,P24044,A,PF3D7_1434200,calmodulin,0.567,0.573,dopamine receptor antagonist,64,-7.005
Uniprot,1WRL_TFP_P24044.pdb,TFP,5566,trifluoperazine,1WRL,A,P24044,A,PF3D7_1434200,calmodulin,0.567,0.61,dopamine receptor antagonist,64,-7.305
Uniprot,1X81_JAN_Q5EI72.pdb,JAN,159324,tipifarnib,1X81,B,Q5EI72,A,PF3D7_1147500,protein farnesyltransferase subunit beta,0.601,0.516,farnesyltransferase inhibitor,90,-9.428
Uniprot,1XKK_FMM_P62343.pdb,FMM,208908,lapatinib,1XKK,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.719,0.263,EGFR inhibitor,238,-9.166
Uniprot,1XWS_BI1_P62343.pdb,BI1,2396,GF109203X,1XWS,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.676,0.359,PKC inhibitor,285,-9.417
Uniprot,1ZRZ_BI1_P62343.pdb,BI1,2396,GF109203X,1ZRZ,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.664,0.455,PKC inhibitor,213,-9.186
Uniprot,2BIL_BI1_O15865.pdb,BI1,2396,GF109203X,2BIL,B,O15865,A,PF3D7_0610600,calcium-dependent protein kinase 2,0.666,0.46,PKC inhibitor,283,-8.785
Uniprot,2BL9_CP6_A0A060D6A2.pdb,CP6,4993,pyrimethamine,2BL9,A,A0A060D6A2,A,PF3D7_0417200,bifunctional dihydrofolate reductase-thymidylate synthase,0.46,0.782,dihydrofolate reductase inhibitor,63.713,-6.977
Uniprot,2BLA_CP6_A0A060DC46.pdb,CP6,4993,pyrimethamine,2BLA,A,A0A060DC46,A,PF3D7_0417200,bifunctional dihydrofolate reductase-thymidylate synthase,0.512,0.71,dihydrofolate reductase inhibitor,64.557,-7.091
Uniprot,2E2B_406_P62343.pdb,406,11387605,Bafetinib,2E2B,A,P62343,A,PF3D7_0217500,calcium-dependent protein kinase 1,0.674,0.322,Bcr-Abl kinase inhibitor|LYN tyrosine kinase inhibitor,229,-10.43
